"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,414161342,138053780,99.24132177098363
"hipLaunchKernel",1,2851888,2851888,0.6833692717337365
"hipMalloc",3,103294,34431,0.024751303541536197
"hipMemset",1,80248,80248,0.019229022078738327
"hipFree",3,60483,20161,0.014492933685429296
"hipDeviceSynchronize",1,55035,55035,0.013187484175348468
"__hipPushCallConfiguration",1,4260,4260,0.001020781004578622
"hipGetDevice",1,3353,3353,0.0008034457061859437
"hipGetDeviceProperties",1,2863,2863,0.0006860319286639895
"__hipPopCallConfiguration",1,2375,2375,0.0005690973910502881
"hipPeekAtLastError",1,2374,2374,0.0005688577710961617
