"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,11049952,11049952,43.54686800303718
"hsa_system_get_info",2039,8550198,4193,33.695562089847314
"hsa_system_get_major_extension_table",3,2209264,736421,8.70651092347387
"hsa_signal_wait_scacquire",6,835782,139297,3.2937417676850016
"hsa_amd_memory_pool_allocate",8,511374,63921,2.0152789874729895
"hsa_amd_memory_lock_to_pool",2,410243,205121,1.6167308030089165
"hsa_amd_memory_async_copy",1,370504,370504,1.4601229745248927
"hsa_executable_load_agent_code_object",2,318682,159341,1.2558971286883323
"hsa_agent_get_info",71,199674,2812,0.7868972934577857
"hsa_executable_freeze",2,136329,68164,0.537260339953156
"hsa_signal_create",41,125362,3057,0.49404037832895087
"hsa_amd_memory_pool_get_info",58,121946,2102,0.4805782292536992
"hsa_executable_destroy",1,66209,66209,0.2609237201766206
"hsa_amd_agent_iterate_memory_pools",15,64532,4302,0.2543148138536706
"hsa_amd_agents_allow_access",4,52660,13165,0.20752832854296
"hsa_amd_memory_pool_free",3,39041,13013,0.153857073198741
"hsa_amd_memory_unlock",1,34222,34222,0.13486582718186815
"hsa_executable_get_symbol_by_name",15,34220,2281,0.13485794536156648
"hsa_code_object_reader_create_from_memory",2,33663,16831,0.13266285840755151
"hsa_executable_symbol_get_info",15,32268,2151,0.12716528874713698
"hsa_isa_get_info_alt",2,19345,9672,0.076236906867899
"hsa_signal_load_relaxed",9,18928,2103,0.07459354733500088
"hsa_amd_agent_memory_pool_get_info",9,18717,2079,0.07376201529317475
"hsa_amd_profiling_get_dispatch_time",4,17180,4295,0.06770483639134167
"hsa_signal_silent_store_relaxed",7,14737,2105,0.05807719289285229
"hsa_signal_store_screlease",6,14527,2421,0.05724960176117698
"hsa_queue_load_read_index_relaxed",6,13340,2223,0.05257174141213609
"hsa_queue_load_read_index_scacquire",6,12922,2153,0.050924440969087145
"hsa_queue_add_write_index_screlease",6,12920,2153,0.05091655914878548
"hsa_iterate_agents",2,12012,6006,0.047338212731827485
"hsa_executable_create_alt",2,11594,5797,0.04569091228877854
"hsa_amd_profiling_async_copy_enable",1,2933,2933,0.011558689472398437
"hsa_amd_profiling_set_profiler_enabled",1,2864,2864,0.011286766671990836
"hsa_code_object_reader_destroy",1,2375,2375,0.009359661608232624
"hsa_agent_iterate_isas",1,2374,2374,0.00935572069808179
"hsa_amd_profiling_get_async_copy_time",1,1956,1956,0.007708420255032848
