"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,416859887,138953295,75.79497768261315
"hipDeviceSynchronize",1,129921990,129921990,23.622887784668734
"hipLaunchKernel",1,2959506,2959506,0.5381081226977344
"hipMalloc",3,84508,28169,0.015365551288944892
"hipMemset",1,81015,81015,0.014730441350805491
"hipFree",3,62438,20812,0.011352703784010284
"__hipPushCallConfiguration",1,3632,3632,0.0006603834226516761
"hipGetDeviceProperties",1,3352,3352,0.0006094728063679566
"hipGetDevice",1,2863,2863,0.0005205610515010322
"__hipPopCallConfiguration",1,2374,2374,0.00043164929663410767
"hipPeekAtLastError",1,1956,1956,0.00035564701946769786
