"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",6,130040859,21673476,84.11991293297211
"hsa_queue_create",1,10953419,10953419,7.085470364344198
"hsa_system_get_info",2039,8551134,4193,5.531497200877284
"hsa_system_get_major_extension_table",3,2374799,791599,1.5361932138060488
"hsa_amd_memory_pool_allocate",8,433852,54231,0.28064711927038116
"hsa_amd_memory_lock_to_pool",2,396556,198278,0.25652134605668586
"hsa_amd_memory_async_copy",1,375813,375813,0.2431032606380972
"hsa_executable_load_agent_code_object",2,334329,167164,0.21626838354680228
"hsa_agent_get_info",71,193803,2729,0.12536591661662888
"hsa_executable_freeze",2,133256,66628,0.08619970064790276
"hsa_amd_memory_pool_get_info",58,123825,2134,0.08009904193977427
"hsa_signal_create",41,122357,2984,0.07914943246214383
"hsa_amd_agent_iterate_memory_pools",15,64045,4269,0.04142897751692181
"hsa_executable_destroy",1,59155,59155,0.03826576883462424
"hsa_amd_agents_allow_access",4,49866,12466,0.0322569660841412
"hsa_executable_get_symbol_by_name",15,47772,3184,0.030902414145341377
"hsa_amd_memory_unlock",1,43860,43860,0.028371847199503326
"hsa_amd_memory_pool_free",3,39111,13037,0.025299847601910046
"hsa_code_object_reader_create_from_memory",2,32896,16448,0.02127953227256866
"hsa_executable_symbol_get_info",15,31778,2118,0.020556328324346024
"hsa_amd_profiling_get_dispatch_time",4,22489,5622,0.01454752557386298
"hsa_signal_load_relaxed",9,21022,2335,0.01359856296917371
"hsa_amd_agent_memory_pool_get_info",9,18229,2025,0.011791846844499456
"hsa_isa_get_info_alt",2,17320,8660,0.011203839340980338
"hsa_signal_silent_store_relaxed",7,15225,2175,0.009848640529239356
"hsa_executable_create_alt",2,14387,7193,0.009306561004542963
"hsa_signal_store_screlease",6,13896,2316,0.008988946390430876
"hsa_queue_add_write_index_screlease",6,13690,2281,0.008855690564550855
"hsa_queue_load_read_index_relaxed",6,13408,2234,0.008673272395142284
"hsa_queue_load_read_index_scacquire",6,13271,2211,0.00858465080220266
"hsa_iterate_agents",2,11872,5936,0.007679675557512619
"hsa_amd_profiling_async_copy_enable",1,2933,2933,0.0018972783364373748
"hsa_amd_profiling_set_profiler_enabled",1,2863,2863,0.0018519972305558144
"hsa_amd_profiling_get_async_copy_time",1,2444,2444,0.001580957468207618
"hsa_agent_iterate_isas",1,2375,2375,0.001536323235267223
"hsa_code_object_reader_destroy",1,1955,1955,0.0012646365999778614
