"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemPrefetchAsync",3,432025918,144008639,99.08189140542738
"hipLaunchKernel",1,3303903,3303903,0.7577252767045003
"hipMallocManaged",3,374487,124829,0.08588577379458119
"hipFree",3,253384,84461,0.058111712575246034
"hipDeviceSynchronize",1,53918,53918,0.012365687330818503
"__hipPushCallConfiguration",1,6635,6635,0.001521687292555005
"hipGetDevice",1,2863,2863,0.0006566074933813082
"hipPeekAtLastError",1,2794,2794,0.0006407828629086186
"hipGetDeviceProperties",1,2793,2793,0.0006405535204379999
"__hipPopCallConfiguration",1,2444,2444,0.0005605129981920773
