"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_system_get_info",7038,29416905,4179,48.34625192240534
"hsa_queue_create",1,24918461,24918461,40.95312518514889
"hsa_system_get_major_extension_table",5,2284711,456942,3.754889019626321
"hsa_signal_wait_scacquire",6,1131705,188617,1.8599405692694637
"hsa_executable_freeze",2,907795,453897,1.4919477682611395
"hsa_executable_load_agent_code_object",2,402145,201072,0.6609194094122306
"hsa_amd_memory_pool_allocate",5,372462,74492,0.6121358342600263
"hsa_amd_svm_attributes_set",3,343060,114353,0.5638140784865157
"hsa_agent_get_info",85,230406,2710,0.3786688817342859
"hsa_amd_memory_pool_get_info",84,185703,2210,0.30520015687396207
"hsa_signal_create",41,123407,3009,0.20281759454260315
"hsa_amd_agent_iterate_memory_pools",24,110487,4603,0.18158376403468682
"hsa_executable_destroy",1,79270,79270,0.1302790823810007
"hsa_amd_agents_allow_access",4,44768,11192,0.07357555140699683
"hsa_executable_get_symbol_by_name",15,35273,2351,0.05797065816607843
"hsa_code_object_reader_create_from_memory",2,34780,17390,0.057160419896697415
"hsa_executable_symbol_get_info",15,30032,2002,0.0493571515335715
"hsa_signal_store_screlease",2,23327,11663,0.03833758237292296
"hsa_signal_load_relaxed",9,20535,2281,0.03374897132198624
"hsa_iterate_agents",3,19695,6565,0.03236844364190499
"hsa_amd_agent_memory_pool_get_info",9,19415,2157,0.03190826774854458
"hsa_isa_get_info_alt",2,18229,9114,0.029959094143096526
"hsa_amd_memory_lock_to_pool",1,16203,16203,0.026629392857567227
"hsa_executable_create_alt",2,15155,7577,0.02490702022813253
"hsa_amd_svm_prefetch_async",3,13899,4633,0.022842802649344376
"hsa_signal_silent_store_relaxed",5,10896,2179,0.017907416193053912
"hsa_amd_profiling_async_copy_enable",2,7054,3527,0.01159314554201563
"hsa_amd_profiling_get_async_copy_time",3,6634,2211,0.010902881701975004
"hsa_queue_add_write_index_screlease",2,4750,2375,0.007806555333792775
"hsa_queue_load_read_index_scacquire",2,4750,2375,0.007806555333792775
"hsa_queue_load_read_index_relaxed",2,4679,2339,0.007689867875119241
"hsa_amd_profiling_get_dispatch_time",1,2793,2793,0.004590254536270152
"hsa_agent_iterate_isas",1,2305,2305,0.0037882336935562834
"hsa_amd_profiling_set_profiler_enabled",1,2305,2305,0.0037882336935562834
"hsa_code_object_reader_destroy",1,2305,2305,0.0037882336935562834
"hsa_dispatch",1,0,0,0.0
