"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,24734054,24734054,44.7536518051538
"hsa_system_get_info",4050,16809803,4150,30.415558661561498
"hsa_signal_wait_scacquire",14,5317553,379825,9.621549116754213
"hsa_amd_memory_lock_to_pool",6,2350148,391691,4.25234396603883
"hsa_system_get_major_extension_table",5,2202717,440543,3.985583181927757
"hsa_amd_memory_pool_allocate",10,984338,98433,1.7810553866576617
"hsa_amd_memory_async_copy",7,780753,111536,1.4126898852824226
"hsa_agent_get_info",141,368964,2616,0.6676012911040288
"hsa_amd_memory_unlock",5,355981,71196,0.644109927278822
"hsa_executable_load_agent_code_object",1,225168,225168,0.4074176546094252
"hsa_amd_memory_pool_get_info",96,197441,2056,0.35724858391840547
"hsa_signal_create",49,147157,3003,0.2662650101229268
"hsa_amd_agents_allow_access",8,129136,16142,0.2336579187346458
"hsa_executable_freeze",1,124876,124876,0.22594989979484909
"hsa_amd_agent_iterate_memory_pools",27,115795,4288,0.2095187918154373
"hsa_amd_memory_pool_free",1,59644,59644,0.10791950273362358
"hsa_signal_load_relaxed",21,46792,2228,0.0846651695377861
"hsa_amd_profiling_get_async_copy_time",14,41486,2963,0.07506452435126933
"hsa_amd_agent_memory_pool_get_info",20,41064,2053,0.07430096003375895
"hsa_isa_get_info_alt",4,31708,7927,0.0573722686720833
"hsa_executable_get_symbol_by_name",14,31218,2229,0.05648566555459495
"hsa_executable_symbol_get_info",14,28917,2065,0.052322249690634315
"hsa_amd_signal_async_handler",7,28007,4001,0.050675701043870224
"hsa_signal_store_screlease",7,24934,3562,0.0451154329213361
"hsa_iterate_agents",3,17669,5889,0.03197018465898322
"hsa_code_object_reader_create_from_memory",1,16762,16762,0.030329064194571098
"hsa_signal_silent_store_relaxed",7,16690,2384,0.03019878781812383
"hsa_signal_destroy",7,16413,2344,0.02969758564762531
"hsa_executable_create_alt",1,8032,8032,0.01453305355033976
"hsa_amd_profiling_async_copy_enable",2,6634,3317,0.012003520574321958
"hsa_agent_iterate_isas",2,4820,2410,0.008721279645497714
"hsa_amd_profiling_set_profiler_enabled",1,2445,2445,0.004423968616855169
