"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_queue_create",1,10972065,10972065,44.20044598195269
"hsa_system_get_info",2039,8537173,4186,34.391598484431604
"hsa_system_get_major_extension_table",3,2340157,780052,9.4272120214188
"hsa_amd_memory_pool_allocate",8,595043,74380,2.397102640062657
"hsa_amd_memory_lock_to_pool",2,397884,198942,1.602856914271221
"hsa_amd_memory_async_copy",1,360239,360239,1.4512058085777524
"hsa_executable_load_agent_code_object",2,335795,167897,1.3527343083102228
"hsa_agent_get_info",71,192687,2713,0.7762304848653848
"hsa_signal_wait_scacquire",6,180680,30113,0.727860852083834
"hsa_executable_freeze",2,137865,68932,0.5553826454092196
"hsa_signal_create",41,124669,3040,0.5022231822472852
"hsa_amd_memory_pool_get_info",58,121518,2095,0.48952952747134904
"hsa_amd_agent_iterate_memory_pools",15,63417,4227,0.2554723912807201
"hsa_executable_destroy",1,59156,59156,0.23830715389567902
"hsa_amd_agents_allow_access",4,45256,11314,0.18231165996184412
"hsa_amd_memory_pool_free",3,39669,13223,0.15980469416268325
"hsa_executable_get_symbol_by_name",15,35269,2351,0.14207950183830387
"hsa_code_object_reader_create_from_memory",2,34990,17495,0.14095556350682617
"hsa_amd_memory_unlock",1,34361,34361,0.1384216666950001
"hsa_executable_symbol_get_info",15,32826,2188,0.1322379916454723
"hsa_signal_load_relaxed",9,21862,2429,0.08807003513535965
"hsa_amd_agent_memory_pool_get_info",9,19556,2172,0.07878042297626443
"hsa_isa_get_info_alt",2,17460,8730,0.07033678590537824
"hsa_amd_profiling_get_dispatch_time",4,16971,4242,0.06836687248569154
"hsa_signal_silent_store_relaxed",7,15296,2185,0.06161921404402438
"hsa_executable_create_alt",2,14457,7228,0.05823934214398931
"hsa_signal_store_screlease",6,13898,2316,0.05598743702823293
"hsa_queue_add_write_index_screlease",6,13479,2246,0.05429951530461589
"hsa_queue_load_read_index_scacquire",6,12921,2153,0.0520516386416605
"hsa_queue_load_read_index_relaxed",6,12782,2130,0.051491683702322155
"hsa_iterate_agents",2,11244,5622,0.04529592329439135
"hsa_amd_profiling_set_profiler_enabled",1,2864,2864,0.011537488822050591
"hsa_amd_profiling_async_copy_enable",1,2794,2794,0.011255497125980918
"hsa_code_object_reader_destroy",1,2375,2375,0.00956757540236388
"hsa_agent_iterate_isas",1,2374,2374,0.009563546949562884
"hsa_amd_profiling_get_async_copy_time",1,2374,2374,0.009563546949562884
