"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",3,417080111,139026703,99.24825888812444
"hipLaunchKernel",1,2859424,2859424,0.6804276826878383
"hipMalloc",3,87161,29053,0.020740805578590187
"hipMemset",1,81085,81085,0.01929496242975626
"hipFree",3,61390,20463,0.014608346100545561
"hipDeviceSynchronize",1,55803,55803,0.013278865245947938
"__hipPushCallConfiguration",1,3772,3772,0.0008975839956223791
"hipGetDeviceProperties",1,2933,2933,0.0006979358057159167
"hipGetDevice",1,2794,2794,0.0006648594071497686
"hipPeekAtLastError",1,2375,2375,0.0005651542920474948
"__hipPopCallConfiguration",1,2374,2374,0.00056491633234558
