"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemPrefetchAsync",2,428846387,214423193,98.24532643606004
"hipLaunchKernel",1,6790769,6790769,1.5557116426327195
"hipMallocManaged",3,375119,125039,0.08593680563611325
"hipDeviceSynchronize",1,336218,336218,0.07702489321352085
"hipFree",3,140102,46700,0.032096263700934206
"__hipPushCallConfiguration",1,6705,6705,0.0015360626408956607
"hipGetDevice",1,3352,3352,0.000767916774389598
"hipGetDeviceProperties",1,2863,2863,0.0006558907294383708
"__hipPopCallConfiguration",1,2305,2305,0.000528057328451081
"hipPeekAtLastError",1,1816,1816,0.00041603128349985383
