"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_system_get_info",7036,29621492,4209,47.0237288643589
"hsa_queue_create",1,24784620,24784620,39.34525819584533
"hsa_executable_freeze",2,3924540,1962270,6.230155620700371
"hsa_system_get_major_extension_table",5,2105933,421186,3.3431409328910893
"hsa_signal_wait_scacquire",5,500135,100027,0.7939577329722669
"hsa_amd_memory_pool_allocate",5,358496,71699,0.5691076838046243
"hsa_amd_svm_attributes_set",3,340827,113609,0.5410583787492153
"hsa_executable_load_agent_code_object",2,312331,156165,0.4958213536284425
"hsa_agent_get_info",85,230055,2706,0.36520928601064684
"hsa_amd_memory_pool_get_info",84,183333,2182,0.29103872566208044
"hsa_signal_create",41,122716,2993,0.1948100356092349
"hsa_amd_agent_iterate_memory_pools",24,110909,4621,0.1760665784362645
"hsa_executable_destroy",1,73125,73125,0.116084975503808
"hsa_amd_agents_allow_access",4,49308,12327,0.0782758013284344
"hsa_executable_get_symbol_by_name",15,35763,2384,0.056773292019729034
"hsa_executable_symbol_get_info",15,32339,2155,0.051337737064172946
"hsa_code_object_reader_create_from_memory",2,31708,15854,0.05033603286529564
"hsa_signal_store_screlease",2,23327,11663,0.037031305621570317
"hsa_iterate_agents",3,18856,6285,0.029933651939826375
"hsa_amd_agent_memory_pool_get_info",9,18508,2056,0.029381206517941585
"hsa_isa_get_info_alt",2,18088,9044,0.028714462043253047
"hsa_signal_load_relaxed",7,15994,2284,0.025390264590877336
"hsa_amd_memory_lock_to_pool",1,15156,15156,0.02405995061518925
"hsa_executable_create_alt",2,11244,5622,0.017849702079518866
"hsa_amd_svm_prefetch_async",2,9917,4958,0.015743107036871984
"hsa_signal_silent_store_relaxed",4,9010,2252,0.014303256468913643
"hsa_amd_profiling_async_copy_enable",2,6704,3352,0.010642511805504669
"hsa_amd_profiling_get_async_copy_time",2,5238,2619,0.00831525609147277
"hsa_queue_add_write_index_screlease",2,4818,2409,0.0076485116167842315
"hsa_queue_load_read_index_scacquire",2,4748,2374,0.007537387537669475
"hsa_queue_load_read_index_relaxed",2,4330,2165,0.00687381803666993
"hsa_amd_profiling_get_dispatch_time",1,2375,2375,0.003770281255679234
"hsa_code_object_reader_destroy",1,2375,2375,0.003770281255679234
"hsa_agent_iterate_isas",1,2374,2374,0.0037686937688347377
"hsa_amd_profiling_set_profiler_enabled",1,1956,1956,0.0031051242678351923
"hsa_dispatch",1,0,0,0.0
