"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_system_get_info",9055,38128955,4210,34.638155621824986
"hsa_signal_store_screlease",8,32358943,4044867,29.39640237692757
"hsa_queue_create",2,30614106,15307053,27.81130948516806
"hsa_system_get_major_extension_table",7,2221854,317407,2.0184378150666427
"hsa_amd_memory_pool_allocate",18,1370840,76157,1.2453362346967696
"hsa_agent_get_info",301,767205,2548,0.6969654999420319
"hsa_queue_destroy",1,687933,687933,0.6249510460328359
"hsa_amd_memory_lock_to_pool",3,555446,185148,0.5045935559345962
"hsa_amd_memory_async_copy",1,468842,468842,0.42591836461418026
"hsa_executable_load_agent_code_object",2,352277,176138,0.32002517635192573
"hsa_amd_memory_pool_get_info",152,326860,2150,0.2969351650615579
"hsa_amd_agents_allow_access",11,290957,26450,0.26431917279818795
"hsa_signal_create",85,257713,3031,0.23411874256106371
"hsa_signal_wait_scacquire",6,236622,39437,0.21495867535702126
"hsa_amd_agent_iterate_memory_pools",45,196394,4364,0.17841364745487245
"hsa_amd_memory_unlock",2,194158,97079,0.17638235874081248
"hsa_executable_freeze",2,181377,90688,0.16477149064850455
"hsa_amd_memory_pool_free",5,145338,29067,0.1320319495188053
"hsa_executable_destroy",1,125015,125015,0.1135695700305044
"hsa_amd_agent_memory_pool_get_info",48,104133,2169,0.09459936836368847
"hsa_signal_load_relaxed",43,93518,2174,0.08495619765718282
"hsa_signal_destroy",40,88001,2200,0.07994429254293019
"hsa_isa_get_info_alt",8,50561,6320,0.0459320164005306
"hsa_code_object_reader_create_from_memory",2,35619,17809,0.03235799316015307
"hsa_executable_get_symbol_by_name",15,35199,2346,0.03197644519060692
"hsa_executable_symbol_get_info",15,31430,2095,0.0285525063877035
"hsa_iterate_agents",4,24514,6128,0.022269683155843576
"hsa_signal_silent_store_relaxed",8,18434,2304,0.0167463220728898
"hsa_amd_profiling_get_dispatch_time",4,16833,4208,0.015291897550881738
"hsa_queue_load_read_index_relaxed",7,15646,2235,0.014213570313140597
"hsa_queue_add_write_index_screlease",7,15574,2224,0.014148162089789829
"hsa_queue_load_read_index_scacquire",7,15296,2185,0.01389561367185214
"hsa_executable_create_alt",2,11942,5971,0.010848680600762177
"hsa_amd_profiling_async_copy_enable",3,11035,3678,0.010024718676051802
"hsa_agent_iterate_isas",4,8729,2182,0.007929838633734134
"hsa_amd_signal_async_handler",2,8590,4295,0.0078035644247652905
"hsa_amd_profiling_set_profiler_enabled",2,4890,2445,0.004442308502573023
"hsa_amd_profiling_get_async_copy_time",2,4749,2374,0.004314217398511102
"hsa_code_object_reader_destroy",1,2374,2374,0.0021566544754822816
"hsa_dispatch",2,0,0,0.0
