"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemcpy",2,414384176,207192088,96.49699144936476
"hipGraphInstantiate",1,6388462,6388462,1.4876711001353287
"hipGraphLaunch",1,4571313,4571313,1.0645144699573903
"hipGraphAddKernelNode",1,2885930,2885930,0.6720419809984859
"hipGraphExecDestroy",1,999941,999941,0.2328546882708891
"hipMalloc",3,72627,24209,0.016912535284631654
"hipMemset",1,51637,51637,0.012024626991236383
"hipFree",3,50615,16871,0.011786635458323093
"hipDeviceSynchronize",2,14718,7359,0.0034273575160643937
"hipGraphDestroy",1,1983,1983,0.00046177809174858625
"hipGraphAddMemcpyNode",1,1683,1683,0.0003919175634961526
"hipGraphCreate",1,1282,1282,0.00029853732406539966
"hipGetDeviceProperties",1,1253,1253,0.00029178413966766443
"hipGetDevice",1,1072,1072,0.0002496349542886961
"hipPeekAtLastError",1,350,350,8.150394962783922e-05
