"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_signal_wait_scacquire",7,36034675,5147810,36.68327006383517
"hsa_system_get_info",7038,29207509,4149,29.7332205865294
"hsa_queue_create",1,24992718,24992718,25.442566750588824
"hsa_executable_freeze",2,3764290,1882145,3.8320441815721686
"hsa_system_get_major_extension_table",5,2182462,436492,2.2217445543787426
"hsa_amd_memory_pool_allocate",5,355910,71182,0.3623160927195701
"hsa_amd_svm_attributes_set",3,351160,117053,0.357480596553635
"hsa_executable_load_agent_code_object",2,316590,158295,0.3222883644575558
"hsa_agent_get_info",85,225099,2648,0.229150600306489
"hsa_amd_memory_pool_get_info",84,174883,2081,0.17803075283941608
"hsa_signal_create",41,121870,2972,0.12406356163000198
"hsa_amd_agent_iterate_memory_pools",24,105043,4376,0.10693368921227782
"hsa_executable_destroy",1,70610,70610,0.07188092300561615
"hsa_amd_agents_allow_access",4,41415,10353,0.04216043657098984
"hsa_code_object_reader_create_from_memory",2,34292,17146,0.034909228320472864
"hsa_executable_get_symbol_by_name",15,34289,2285,0.034906174322894376
"hsa_executable_symbol_get_info",15,30940,2062,0.031496895026111936
"hsa_signal_store_screlease",2,23256,11628,0.0236745892284182
"hsa_signal_load_relaxed",9,20118,2235,0.020480107761322554
"hsa_iterate_agents",3,19766,6588,0.020121772045446944
"hsa_amd_agent_memory_pool_get_info",9,18646,2071,0.01898161294947909
"hsa_isa_get_info_alt",2,17181,8590,0.017490244131985428
"hsa_amd_memory_lock_to_pool",1,15086,15086,0.015357535823009846
"hsa_executable_create_alt",2,14736,7368,0.015001236105519893
"hsa_amd_svm_prefetch_async",3,11873,3957,0.012086704416452067
"hsa_signal_silent_store_relaxed",5,11592,2318,0.011800646643267276
"hsa_amd_profiling_async_copy_enable",2,7123,3561,0.007251208250516978
"hsa_amd_profiling_get_async_copy_time",3,6215,2071,0.006326864983428755
"hsa_queue_load_read_index_scacquire",2,4260,2130,0.004336676561449155
"hsa_queue_load_read_index_relaxed",2,4259,2129,0.004335658562256326
"hsa_queue_add_write_index_screlease",2,4191,2095,0.004266434617143992
"hsa_code_object_reader_destroy",1,2794,2794,0.0028442897447626615
"hsa_agent_iterate_isas",1,2375,2375,0.002417748082967545
"hsa_amd_profiling_get_dispatch_time",1,2374,2374,0.0024167300837747165
"hsa_amd_profiling_set_profiler_enabled",1,2305,2305,0.0023464881394695543
"hsa_dispatch",1,0,0,0.0
