"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipMemPrefetchAsync",3,464734265,154911421,98.44601719938431
"hipLaunchKernel",1,6469163,6469163,1.3703816996657663
"hipMallocManaged",3,385453,128484,0.08165163519318783
"hipDeviceSynchronize",1,333420,333420,0.07062933277497564
"hipFree",3,129694,43231,0.027473458955424662
"__hipPushCallConfiguration",1,7124,7124,0.001509097734655769
"hipGetDevice",1,3283,3283,0.0006954474821553747
"hipGetDeviceProperties",1,2933,2933,0.000621305959537531
"__hipPopCallConfiguration",1,2444,2444,0.0005177196607943149
"hipPeekAtLastError",1,2375,2375,0.0005031031891925115
