"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hsa_system_get_info",7032,29379145,4177,49.75197714404197
"hsa_queue_create",1,19574549,19574549,33.14842942001647
"hsa_executable_freeze",2,5720598,2860299,9.687520210212115
"hsa_system_get_major_extension_table",5,2036306,407261,3.44837297240187
"hsa_amd_memory_pool_allocate",5,357730,71546,0.6057962130531074
"hsa_amd_svm_attributes_set",3,341456,113818,0.578237083063377
"hsa_executable_load_agent_code_object",2,325951,162975,0.5519802125649887
"hsa_signal_wait_scacquire",2,278808,139404,0.47214611737598405
"hsa_agent_get_info",85,228594,2689,0.3871114514484724
"hsa_amd_memory_pool_get_info",84,183827,2188,0.3113009824641869
"hsa_signal_create",41,126625,3088,0.2144325202746477
"hsa_amd_agent_iterate_memory_pools",24,108816,4534,0.18427395163834998
"hsa_executable_destroy",1,84299,84299,0.1427557514442845
"hsa_amd_agents_allow_access",4,50426,12606,0.08539367634645122
"hsa_executable_get_symbol_by_name",15,36038,2402,0.061028384328985226
"hsa_executable_symbol_get_info",15,32543,2169,0.0551097927525991
"hsa_code_object_reader_create_from_memory",2,29403,14701,0.04979237428339954
"hsa_signal_store_screlease",2,25632,12816,0.043406391784243
"hsa_iterate_agents",3,20115,6705,0.03406365366495193
"hsa_amd_agent_memory_pool_get_info",9,19486,2165,0.032998476525739666
"hsa_amd_memory_lock_to_pool",1,18578,18578,0.03146082812763992
"hsa_isa_get_info_alt",2,17601,8800,0.029806331998847576
"hsa_executable_create_alt",2,11662,5831,0.019748959932422046
"hsa_signal_load_relaxed",3,7195,2398,0.012184339454105353
"hsa_amd_profiling_async_copy_enable",2,6705,3352,0.011354551221650645
"hsa_queue_add_write_index_screlease",2,5308,2654,0.00898880803646855
"hsa_queue_load_read_index_relaxed",2,4750,2375,0.008043865518693596
"hsa_signal_silent_store_relaxed",2,4749,2374,0.00804217207332124
"hsa_queue_load_read_index_scacquire",2,4680,2340,0.007925324342628638
"hsa_amd_profiling_get_dispatch_time",1,2444,2444,0.0041387804900394
"hsa_code_object_reader_destroy",1,2444,2444,0.0041387804900394
"hsa_agent_iterate_isas",1,2374,2374,0.004020239313974442
"hsa_amd_profiling_set_profiler_enabled",1,2374,2374,0.004020239313974442
"hsa_dispatch",1,0,0,0.0
