"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"hipLaunchKernel",1,432263824,432263824,99.79845812030517
"hipMallocManaged",3,374352,124784,0.08642812634316695
"hipDeviceSynchronize",1,336008,336008,0.07757549545966053
"hipFree",3,146459,48819,0.03381356839577159
"__hipPushCallConfiguration",1,5238,5238,0.0012093177698676873
"hipGetDeviceProperties",1,3283,3283,0.0007579591902397131
"hipGetDevice",1,2794,2794,0.000645061826844276
"__hipPopCallConfiguration",1,2444,2444,0.0005642559430234111
"hipPeekAtLastError",1,2374,2374,0.0005480947662592382
